id,dataset_id,description,description_chinese,translation_status,translation_error
147,ercot_fuel_mix_instantaneous,"Real-time fuel mix as reported by ERCOT, sampled every five minutes. The resource types in this dataset are *Solar*, *Wind*, *Hydro*, *Power Storage*, *Other*, *Natural Gas*, *Coal and Lignite*, and *Nuclear*.",ERCOT（德克萨斯州电力可靠性委员会）报告的实时燃料结构数据，每五分钟采样一次。该数据集中的资源类型包括：太阳能、风电、水力、储能、其他、天然气、煤炭与褐煤 和 核能。,done,
148,ercot_gen_resources,List of ERCOT generation resources.,ERCOT（德克萨斯州电力可靠性委员会）的发电资源列表。,done,
149,ercot_highest_price_as_offer_selected,"The price and name of the Entity submitting
the offer for the highest-priced selected Ancillary Service (AS) Offer in ERCOT for each hour of the operating day.

Published with a 3 day delay.","ERCOT（德克萨斯州电力可靠性委员会）中每个运行小时所选取的最高价辅助服务（AS）报价的报价价格及提交该报价的实体名称。

数据延迟3天发布。",done,
150,ercot_highest_price_as_offer_selected_dam,"The price and name of the QSE, DME, and resource submitting the offer for the highest-priced selected Ancillary Service (AS) Offer in the day-ahead market in ERCOT for each AS product in each hour of the next operating day.

Published with a 3 day delay.

Implemented on December 5th, 2025, as part of ERCOT's RTC+B project.","在ERCOT（德克萨斯州电力可靠性委员会）日前市场中，针对每个辅助服务产品，在下一个运行日的每个小时，提供价格及提交该最高价选中辅助服务（AS）报价的合格调度实体（QSE）、配电市场实体（DME）和资源的名称。

数据延迟3天发布。

于2025年12月5日作为ERCOT的RTC+B项目的一部分实施。",done,
151,ercot_highest_price_as_offer_selected_sced,"The price and name of the QSE, DME, and resource submitting the offer for the highest-priced selected Ancillary Service (AS) Offer in ERCOT for each AS product in each interval of SCED in real time

Published with a 3 day delay.

Implemented on December 5th, 2025, as part of ERCOT's RTC+B project.","在ERCOT（德克萨斯州电力可靠性委员会）实时市场中，针对每个辅助服务产品，在安全约束经济调度（SCED）的每个时间间隔，提供价格及提交该最高价选中辅助服务（AS）报价的合格调度实体（QSE）、配电市场实体（DME）和资源的名称。

数据延迟3天发布。

于2025年12月5日作为ERCOT的RTC+B项目的一部分实施。",done,
152,ercot_hourly_resource_outage_capacity_reports,"Hourly resource outage capacity reports published by ERCOT. Published every hour for the next 168 hours.



For single time series of historical actuals and latest outlook, see `hourly_resource_outage_capacity`.","ERCOT（德克萨斯州电力可靠性委员会）发布的小时级资源停运容量报告。每小时发布一次，覆盖未来168小时。

如需查看历史实际值和最新预测的单一时间序列数据，请参阅 hourly_resource_outage_capacity。",done,
153,ercot_hourly_solar_report,"⚠️ This dataset has been deprecated in favor of [ercot_solar_actual_and_forecast_by_geo_region_hourly](https://www.gridstatus.io/datasets/ercot_solar_actual_and_forecast_by_geo_region_hourly). The following changes should be considered when migrating
- `hsl_system_wide` moved from last column to 8th column

---
Hourly solar report with forecasts as published by ERCOT.

This report is published each hour and includes System-wide and geographic regional hourly averaged solar power production, forecasts, and the High Sustainable Limit (HSL) of online resources in the Current Operating Plan (COP). HSL is ERCOT's forecast of uncertailed power generation potential.

The STPPF and PVGRPP values are forecasts representing a 50% and 80% chance of exceedance respectively. These forecasts are produced for a rolling 168-hour future period with each hourly report.

On Sept 26, 2024, `hsl_system_wide` column was added","⚠️ 该数据集已废弃，请使用 ercot_solar_actual_and_forecast_by_geo_region_hourly。迁移时请考虑以下变更：
- hsl_system_wide 列从最后一列移至第8列

---
ERCOT（德克萨斯州电力可靠性委员会）发布的小时级太阳能报告及预测。

此报告每小时发布一次，包含系统范围和地理区域的小时平均太阳能发电量、预测值，以及当前运行计划（COP）中在线资源的高持续限值（HSL）。HSL是ERCOT对未削减发电潜力的预测。

STPPF和PVGRPP值分别代表超出概率为50%和80%的预测值。这些预测伴随每小时的报告，针对未来滚动168小时周期生成。

2024年9月26日，新增了 hsl_system_wide 列。",done,
154,ercot_hourly_wind_report,"⚠️ This dataset has been deprecated in favor of [ercot_wind_actual_and_forecast_hourly](https://www.gridstatus.io/datasets/ercot_wind_actual_and_forecast_hourly). The following changes should be considered when migrating:
- `actual_ column` prefix renamed to `gen_` to better match ERCOT's reporting and the solar datasets
- `hsl_system_wide` moved from last column to 8th column
---

Hourly wind report with forecasts as published by ERCOT.

This report is published each hour and includes System-wide and geographic regional hourly averaged wind power production, forecasts, and the High Sustainable Limit (HSL) of online resources in the Current Operating Plan (COP). HSL is ERCOT's forecast of uncertailed power generation potential.

The STWPF and WGRPP values are forecasts representing a 50% and 80% chance of exceedance respectively. These forecasts are produced for a rolling 168-hour future period with each hourly report.

On Sept 26, 2024, `hsl_system_wide` column was added","⚠️ 该数据集已废弃，请使用 ercot_wind_actual_and_forecast_hourly。迁移时请考虑以下变更：
- actual_ 列前缀已重命名为 gen_，以更好地匹配ERCOT的报告和太阳能数据集。
- hsl_system_wide 列从最后一列移至第8列。

---
ERCOT（德克萨斯州电力可靠性委员会）发布的小时级风电报告及预测。

此报告每小时发布一次，包含系统范围和地理区域的小时平均风电发电量、预测值，以及当前运行计划（COP）中在线资源的高持续限值（HSL）。HSL是ERCOT对未削减发电潜力的预测。

STWPF和WGRPP值分别代表超出概率为50%和80%的预测值。这些预测伴随每小时的报告，针对未来滚动168小时周期生成。

2024年9月26日，新增了 hsl_system_wide 列。",done,
155,ercot_hub_name_dc_ties,Current list of Hub names and DC Ties in ERCOT.,ERCOT（德克萨斯州电力可靠性委员会）当前枢纽名称和直流联络线列表。,done,
156,ercot_indicative_lmp_by_settlement_point,"Contains 5-minute indicative LMPs at settlement points in ERCOT. Every 5 minutes ERCOT publishes these values for the following 12 intervals in the Look Ahead SCED-RTD Study Period. Settlement points include Resource Nodes, Hubs, and Load Zones.",包含ERCOT（德克萨斯州电力可靠性委员会）各结算点的五分钟指示性节点边际电价（LMP）。每五分钟，ERCOT会发布前瞻性SCED-RTD研究周期中接下来12个时间间隔的这些值。结算点包括资源节点、枢纽和负荷区。,done,
157,ercot_indicative_mcpc_rtd,"Indicative prices for Ancillary Services as reported by ERCOT for each RTD timestamp. Each RTD timestamp produces values for 11 intervals.

Currently, these ancillary services are: *ERCOT Contingency Reserve Servic*e (ECRS), *Non-Spinning Responsive Reserves* (NSPIN), *Regulation Down* (REGDN), *Regulation Up* (REGUP), and *Responsive Reserves* (RRS).

Implemented on December 5th, 2025, as part of ERCOT's RTC+B project.","ERCOT（德克萨斯州电力可靠性委员会）报告的每个实时调度（RTD）时间戳对应的辅助服务指示性价格。每个RTD时间戳为11个时间间隔生成价格。

目前，这些辅助服务包括：ERCOT事故备用服务（ECRS）、非旋转响应备用（NSPIN）、下调频（REGDN）、上调频（REGUP）和响应备用（RRS）。

于2025年12月5日作为ERCOT的RTC+B项目的一部分实施。",done,
158,ercot_lmp_by_bus,"The Locational Marginal Price for each Electrical Bus in ERCOT,
normally produced by SCED every five minutes. 

The location type present is:

- *Electrical Bus*

See list of available locations
by using the `ercot_electrical_buses` dataset.","ERCOT（德克萨斯州电力可靠性委员会）中每个电力母线的节点边际电价（LMP），通常由安全约束经济调度（SCED）每五分钟生成一次。

存在的位置类型为：

- 电力母线

可使用 ercot_electrical_buses 数据集查看可用位置列表。",done,
159,ercot_lmp_by_bus_dam,"Day Ahead Market (DAM) Location Marginal Prices (LMP) for each Electrical Bus in ERCOT
at hourly intervals.

The location type present is:

- *Electrical Bus*","ERCOT（德克萨斯州电力可靠性委员会）中每个电力母线的日前市场（DAM）节点边际电价（LMP），数据为小时级间隔。

存在的位置类型为：

- 电力母线",done,
160,ercot_lmp_by_settlement_point,"The Locational Marginal Price (LMP) for each Settlement Point in ERCOT,
normally produced by SCED every five minutes.

The location types present are:

- *Load Zone*
- *Load Zone DC Tie*
- *Resource Node*
- *Trading Hub*","ERCOT（德克萨斯州电力可靠性委员会）中每个结算点的节点边际电价（LMP），通常由安全约束经济调度（SCED）每五分钟生成一次。

存在的位置类型包括：

- 负荷区
- 负荷区直流联络线
- 资源节点
- 交易枢纽",done,
161,ercot_lmp_dart_by_bus,DART spread in ERCOT between day-ahead hourly LMPs and real-time 5-minute LMPs by bus. Hourly day-ahead values are brought to a 5-minute interval across the hour for the purposes of this dataset.,ERCOT（德克萨斯州电力可靠性委员会）中按母线计算的日前小时级LMP（节点边际电价）与实时5分钟LMP之间的DART（日前与实时价差）价差。在本数据集中，小时日前电价数值在该小时内被转换为5分钟间隔数据。,done,
162,ercot_lmp_dart_by_settlement_point,DART spread in ERCOT between day-ahead hourly SPPs and real-time 5-minute LMPs by settlement point. Hourly day-ahead values are brought to a 5-minute interval across the hour for the purposes of this dataset.,ERCOT（德克萨斯州电力可靠性委员会）中按结算点计算的日前小时级SPP（影子价格）与实时5分钟LMP（节点边际电价）之间的DART（日前与实时价差）价差。在本数据集中，小时日前电价数值在该小时内被转换为5分钟间隔数据。,done,
163,ercot_lmp_with_adders_by_settlement_point,"This dataset combines the real-time, five-minute LMP pricing for each settlement point with the active online adder pricing to produce a five-minute view of price data that is otherwise only available in 15-minute SPPs. 

Prior to the implementation of RTB+C on 12/5/2025, the adders added to the LMP were the Real Time Online Reserve Price Adder (RTORPA) and the Real Time Online Reliability Deployment Price Adder (RTORDPA). From 12/5/2025 on, the remaining adder is the Real-time Reliability Deployment Price Adder (RTRDPA).","该数据集将各结算点的实时五分钟节点边际电价（LMP）与当前在线的附加价格相结合，提供了五分钟视角的价格数据，而此数据原本仅能以十五分钟影子价格（SPP）的形式获取。

在2025年12月5日实施RTB+C之前，附加到LMP的加价包括实时在线备用价格加价（RTORPA）和实时在线可靠性调度价格加价（RTORDPA）。自2025年12月5日起，剩余的加价为实时可靠性调度价格加价（RTRDPA）。",done,
164,ercot_load,"Five-minute load as reported by ERCOT in real-time; contains systemwide demand.

Beginning December 5th, 2025, with the implementation of RTC+B, ERCOT's real-time load reporting no longer includes wholesale storage charging.","ERCOT（德克萨斯州电力可靠性委员会）实时报告的五分钟负荷数据；包含系统范围内的需求。

自2025年12月5日RTC+B实施起，ERCOT的实时负荷报告不再包含批发储能充电负荷。",done,
165,ercot_load_15_min,"System wide actual load in 15-minute intervals as reported by ERCOT. Refreshes
every hour at 5 minutes past the hour. ",ERCOT（德克萨斯州电力可靠性委员会）报告的系统范围实际负荷，数据间隔为15分钟。每小时过5分钟刷新一次。,done,
166,ercot_load_by_forecast_zone,"Hourly load by forecast zone as reported by ERCOT.

Included zones: North, South, West, Houston, and ERCOT-wide total.","ERCOT（德克萨斯州电力可靠性委员会）报告的按预测区域划分的小时级负荷数据。

涵盖的区域包括：北部、南部、西部、休斯顿以及ERCOT系统总负荷。",done,
167,ercot_load_by_weather_zone,"Hourly load by weather zone as reported by ERCOT.

Included zones: Coast, East, Far West, North, North Central,
South, South Central, West, and ERCOT-wide total.","ERCOT（德克萨斯州电力可靠性委员会）报告的按气象区域划分的小时级负荷数据。

涵盖的区域包括：海岸、东部、远西部、北部、中北部、南部、中南部、西部以及ERCOT系统总负荷。",done,
168,ercot_load_forecast,Load Forecast reported by ERCOT resampled to 5 minute intervals.,ERCOT（德克萨斯州电力可靠性委员会）报告的负荷预测数据，重采样至5分钟间隔。,done,
169,ercot_load_forecast_by_forecast_zone,"Forecasted hourly demand by Forecast Zone and system total as reported by ERCOT.
Released every hour for the current day and six days forward.","ERCOT（德克萨斯州电力可靠性委员会）报告的按预测区域和系统总计的小时级预测需求。
每小时发布一次，覆盖当前日及未来六天。",done,
170,ercot_load_forecast_by_model,"Forecasted hourly demand by Model and Weather Zone as reported by ERCOT.
Released every hour for for the current day and the next 7.","ERCOT（德克萨斯州电力可靠性委员会）报告的按模型和气象区域划分的小时级预测需求。
每小时发布一次，覆盖当前日及未来七天。",done,
171,ercot_load_forecast_by_weather_zone,"Forecasted hourly demand by Weather Zone and system total as reported by ERCOT.
Released every hour for for the current day and six days forward.","ERCOT（德克萨斯州电力可靠性委员会）报告的按气象区域和系统总计的小时级预测需求。
每小时发布一次，覆盖当前日及未来六天。",done,
172,ercot_load_forecast_dam,The load forecast for each interval based on 14:30 CT forecast from the previous day.,基于前一日中部时间14:30预测值生成的每个时间间隔的负荷预测。,done,
173,ercot_load_hourly_post_settlements,"Hourly load data for each of ERCOT’s weather zones. This data is published for each month in the first two weeks of the following month, after settlements have been processed. 

This dataset differs from [ERCOT Load By Weather Zone](https://www.gridstatus.io/datasets/ercot_load_by_weather_zone) as that data is reported in real time.

This dataset may be updated over the course of the month in which it is initially published. ","ERCOT（德克萨斯州电力可靠性委员会）每个气象区域的小时级负荷数据。此数据在结算处理完成后，于次月的前两周内针对前一个月发布。

该数据集与 ERCOT 按气象区域负荷 的不同之处在于，后者数据为实时报告。

此数据集在首次发布的当月期间可能会进行更新。",done,
174,ercot_mcpc_dam,"Hourly prices for Ancillary Services as reported by ERCOT from the day-ahead market run. 

Currently, these ancillary services are: *ERCOT Contingency Reserve Servic*e (ECRS), *Non-Spinning Responsive Reserves* (NSPIN), *Regulation Down* (REGDN), *Regulation Up* (REGUP), and *Responsive Reserves* (RRS)

Implemented on December 5th, 2025, as part of ERCOT's RTC+B project.","ERCOT（德克萨斯州电力可靠性委员会）从日前市场运行中报告的辅助服务小时级价格（容量市场出清价格，MCPC）。

目前，这些辅助服务包括：ERCOT事故备用服务（ECRS）、非旋转响应备用（NSPIN）、下调频（REGDN）、上调频（REGUP）和响应备用（RRS）。

于2025年12月5日作为ERCOT的RTC+B项目的一部分实施。",done,
176,ercot_mcpc_real_time_15_min,"Prices for Ancillary Services as reported by ERCOT for each 15-minute interval. 

Currently, these ancillary services are: *ERCOT Contingency Reserve Servic*e (ECRS), *Non-Spinning Responsive Reserves* (NSPIN), *Regulation Down* (REGDN), *Regulation Up* (REGUP), and *Responsive Reserves* (RRS).

Implemented on December 5th, 2025, as part of ERCOT's RTC+B project.","ERCOT（德克萨斯州电力可靠性委员会）报告的每个15分钟时间间隔的辅助服务价格（容量市场出清价格，MCPC）。

目前，这些辅助服务包括：ERCOT事故备用服务（ECRS）、非旋转响应备用（NSPIN）、下调频（REGDN）、上调频（REGUP）和响应备用（RRS）。

于2025年12月5日作为ERCOT的RTC+B项目的一部分实施。",done,
177,ercot_mcpc_sced,"Prices for Ancillary Services as reported by ERCOT for each SCED run in real-time. 

Currently, these ancillary services are: *ERCOT Contingency Reserve Servic*e (ECRS), *Non-Spinning Responsive Reserves* (NSPIN), *Regulation Down* (REGDN), *Regulation Up* (REGUP), and *Responsive Reserves* (RRS).

Implemented on December 5th, 2025, as part of ERCOT's RTC+B project.","ERCOT（德克萨斯州电力可靠性委员会）报告的实时市场中每次安全约束经济调度（SCED）运行的辅助服务价格（容量市场出清价格，MCPC）。

目前，这些辅助服务包括：ERCOT事故备用服务（ECRS）、非旋转响应备用（NSPIN）、下调频（REGDN）、上调频（REGUP）和响应备用（RRS）。

于2025年12月5日作为ERCOT的RTC+B项目的一部分实施。",done,
178,ercot_net_load,This dataset contains hourly net load levels across ERCOT. Net load is calculated by combining solar and wind generation and subtracting that from load. Net load is a clear metric that helps illustrate how much load is met by thermal and other dispatchable resources.,此数据集包含ERCOT（德克萨斯州电力可靠性委员会）范围内的小时级净负荷水平。净负荷的计算方法是将太阳能和风电发电量合并后从总负荷中减去。净负荷是一个清晰的指标，有助于说明有多少负荷是由火电和其他可调度资源来满足的。,done,
179,ercot_net_load_forecast,"This dataset contains forecasted net load levels for the current day and next six days in ERCOT. This is calculated by combining forecasted wind and solar generation and subtracting that from load forecasts. Net load is a clear metric that helps illustrate how much load is met by thermal and other dispatchable resources, which is particularly valuable as the net load peak has grown increasingly volatile. ",此数据集包含ERCOT（德克萨斯州电力可靠性委员会）当前日及未来六天的预测净负荷水平。其计算方法是将预测的风电和太阳能发电量合并后从负荷预测中减去。净负荷是一个清晰的指标，有助于说明有多少负荷将由火电和其他可调度资源来满足，随着净负荷峰值波动日益加剧，该指标尤为有价值。,done,
180,ercot_noie_mapping,"Mapping of Non-opt-in Entities (NOIEs) to substations and electrical buses in ERCOT.

A NOIE is the default provider in its territory, which is not paticipating in the competitive retail market, and:

> at its sole discretion may authorize third party QSEs to provide Load Resource and ERS services within their service territory. ","非选择加入实体（NOIE）与ERCOT（德克萨斯州电力可靠性委员会）内变电站和电力母线的映射关系。

NOIE是其区域内未参与竞争性零售市场的默认供电服务商，并且：

> 可自行决定授权第三方合格调度实体（QSE）在其供电区域内提供负荷资源和应急备用服务（ERS）。",done,
181,ercot_operations_messages,"This dataset contains emergency alerts, actions, and events in PJM. PJM includes the priority, message type, start time, region impacts, and emergency message. ",该数据集包含PJM（宾夕法尼亚-新泽西-马里兰联合电力系统）中的紧急警报、行动和事件。PJM提供的信息包括优先级、消息类型、开始时间、受影响区域以及紧急消息内容。,done,
182,ercot_prc,"Physical Responsive Capability (PRC) in ERCOT. New data is published on an irregular frequency, but is generally multiple times per minute.

PRC is the generation and load resources that can quickly respond to sudden changes on the system. Events such as the unexpected trip of a large generator rely on fast response of other resources to fill the gap. The PRC is a measure of those other resources' capability. ","ERCOT（德克萨斯州电力可靠性委员会）中的物理响应能力（PRC）。新数据发布频率不固定，但通常每分钟多次。

PRC是指能够快速响应系统突发变化的发电资源和负荷资源。诸如大型发电机意外跳闸等事件需要依赖其他资源的快速响应来填补缺口。PRC正是衡量这些其他资源能力的一个指标。",done,
183,ercot_real_time_adders,"The Real-Time Reliability Deployment Price Adders (RTRDPAs) for energy and each ancillary service, for each SCED run in ERCOT.

This dataset also includes:
* System Lambda (λ), which is the Shadow Price for the system-wide Power Balance constraint
* Total RUC/RMR Low Dispatch Limit (LDL) relaxed
* Deployed Load Resource MWs that are added to Demand
* Energy Storage Resource Charging MWs that are added to Demand
* Total Low Sustained Limit (LSL)
* Total High Sustained Limit (HSL)

This dataset was implemented on December 5th, 2025, as part of ERCOT's RTC+B project, which modified many existing datasets related to ancillary services and system capacity while also introducing new reports.","ERCOT（德克萨斯州电力可靠性委员会）中每次安全约束经济调度（SCED）运行对应的能量和各项辅助服务的实时可靠性调度价格加价（RTRDPAs）。

该数据集还包括：
* 系统边际价格（λ），即系统范围功率平衡约束的影子价格。
* 总RUC/RMR低调度限值（LDL）松弛量。
* 已调度并添加到需求中的负荷资源兆瓦数。
* 已调度并添加到需求中的储能资源充电兆瓦数。
* 总低持续限值（LSL）。
* 总高持续限值（HSL）。

该数据集于2025年12月5日作为ERCOT的RTC+B项目的一部分实施，该项目修改了许多与辅助服务和系统容量相关的现有数据集，同时引入了新的报告。",done,
184,ercot_real_time_adders_and_reserves,"⚠️ Due to large changes in AS data post RTC+C, we've decide to retired this dataset. The historical data is still available, but will no longer receive updates.
The dataset id of the new dataset is [ercot_real_time_adders](https://www.gridstatus.io/datasets/ercot_real_time_adders). 

___

ERCOT Real-Time ORDC and Reliability Deployment Price Adders and Reserves by SCED Interval

This ERCOT dataset contains the real-time adders and reserve elements in each run of SCED. Deployed ERS and load resources are included, as are RUC/RMR LDL relaxed, and total LASL and HASL.

There are a few common elements in the columm names from ERCOT that can assist in understanding and using this dataset. Let's use RTORPA as an example:

* RT = Real-Time
* OR = Operating Reserves
* PA = Price Adder 

Collectively, these create the column RTORPA, or the Real-Time On-Line Reserve Price Adder. If you replace the OR with OFF you have the Real-Time Off-Line Reserve Price Adder. Swapping in CAP for PA changes the column from Price to Capacity, so RTOFFCAP is Real-Time Off-Line Capacity. Following from these conventions, the Real-Time On-Line Reliability Deployment Price Adder is RTORDPA.

Additional acronyms include:

* CLR = Controllable Load Resource
* RMR = Reliability Must Run
* REG = Regulation
* RRS = Responsive Reserve
* ECRS = ERCOT Contingency Reserve Service
* RUC = Reliabililty Unit Commitment","⚠️ 由于RTC+C实施后辅助服务（AS）数据发生了巨大变化，我们决定停用此数据集。历史数据仍然可用，但将不再接收更新。
新数据集的ID为 ercot_real_time_adders。

___

ERCOT（德克萨斯州电力可靠性委员会）按安全约束经济调度（SCED）间隔的实时运行备用需求曲线（ORDC）和可靠性调度价格加价及备用数据。

此ERCOT数据集包含每次SCED运行中的实时加价和备用要素。数据中包含已调度的应急备用服务（ERS）和负荷资源，以及RUC/RMR的低调度限值（LDL）松弛量，还有总LASL和总HASL。

ERCOT列名中一些常见的元素有助于理解和使用此数据集。以RTORPA为例：

* RT = 实时（Real-Time）
* OR = 运行备用（Operating Reserves）
* PA = 价格加价（Price Adder）

结合起来，构成了列名RTORPA，即实时在线备用价格加价。如果将OR替换为OFF，则得到实时离线备用价格加价。将PA替换为CAP，列的含义从价格变为容量，因此RTOFFCAP表示实时离线容量。遵循这些惯例，实时在线可靠性调度价格加价为RTORDPA。

其他缩略词包括：

* CLR = 可控负荷资源
* RMR = 可靠性必须运行
* REG = 调频
* RRS = 响应备用
* ECRS = ERCOT事故备用服务
* RUC = 可靠性机组承诺",done,
185,ercot_real_time_as_monitor,"⚠️ Due to large changes in AS data post RTC+C, we've decide to retire this dataset. The historical data is still available, but will no longer receive updates.
The dataset id of the new dataset is [ercot_system_as_capacity_monitor](https://www.gridstatus.io/datasets/ercot_system_as_capacity_monitor). 
___

Real Time AS Monitor as reported by ERCOT. Includes capacity and responsibility. Updates ~10 seconds.","⚠️ 由于RTC+C实施后辅助服务（AS）数据发生了巨大变化，我们决定停用此数据集。历史数据仍然可用，但将不再接收更新。
新数据集的ID为 ercot_system_as_capacity_monitor。
___

ERCOT（德克萨斯州电力可靠性委员会）报告的实时辅助服务监控数据。包含容量和责任信息。更新频率约为每10秒一次。",done,
186,ercot_real_time_system_conditions,"Real Time System Conditions as reported by ERCOT. This data is sampled by ERCOT out of a number of different data feeds. This dataset is useful for understanding the instantaneous condition of the grid.

Metrics include:
* Frequency
* DC Tie Flow
* System Inertia
* Wind and Solar Output
* System Demand
* Time Error","ERCOT（德克萨斯州电力可靠性委员会）报告的实时系统状况。该数据由ERCOT从多个不同的数据源中采样获取。此数据集有助于理解电网的瞬时状况。

指标包括：
* 频率
* 直流联络线潮流
* 系统惯量
* 风电和太阳能出力
* 系统需求
* 时间误差",done,
187,ercot_records,Top 10 daily records for various metrics in ERCOT,ERCOT（德克萨斯州电力可靠性委员会）内各项指标的每日前十名记录,done,
188,ercot_records_timeseries,Timeline of new records for ERCOT,ERCOT（德克萨斯州电力可靠性委员会）新记录的时间线,done,
189,ercot_reported_outages,"Report generation outages in ERCOT.

MW values of planned and forced generation outages, including energy storage
resources, currently taking place as well as any that occurred during the previous
6 days. These quantities include full outages, as well as partial reductions in
generation capability that meet reporting requirements. The values
reflect MW capability reductions relative to a generator's maximum seasonal
capability.

Includes
- Dispatchable outages
- Renewable outages
- Combined outages","ERCOT（德克萨斯州电力可靠性委员会）中报告的发电停运情况。

包含当前正在发生以及过去6天内发生的计划内和强制发电停运的兆瓦值，数据涵盖储能资源。这些数值包括完全停运，以及满足报告要求的发电能力部分减少的情况。数值反映的是相对于发电机最大季节性容量的兆瓦能力减少量。

包括：
- 可调度资源停运
- 可再生资源停运
- 综合停运",done,
190,ercot_resource_node_to_unit,Mapping of resource nodes (settlement points) to unit names and substations in ERCOT.,ERCOT（德克萨斯州电力可靠性委员会）中资源节点（结算点）到机组名称和变电站的映射关系。,done,
191,ercot_sced_as_offer_updates_in_op_hour_60_day,ERCOT resources updated offers to provide ancillary services within a real-time operating hour. This data is posted on a 60-day delay from the market day.,ERCOT（德克萨斯州电力可靠性委员会）中资源在实时运行小时内更新提供辅助服务的报价。此数据在市场日后延迟60天发布。,done,
192,ercot_sced_esr_60_day,"SCED Energy Storage Resource data. Published with 60 day delay. Contains offer curves, telemetry, and other data.

With this data you can construct the actual operations and instructions for each operationla storage unit in ERCOT. As an example, with this data it is possible to understand a unit's typical adherence to schedule and instructions by comparing the output schedule (an input to SCED) against a unit's base points (an output from SCED) and their actual telemetered net output to the grid using the columns output_schedule, base_point, and telemetered_net_output.","安全约束经济调度（SCED）的储能资源数据。延迟60天发布。包含报价曲线、遥测数据及其他信息。

利用这些数据，可以重现ERCOT中每个运行储能单元的实际操作和指令。例如，通过将输出计划（SCED的输入）与机组基点（SCED的输出）以及使用列 output_schedule、base_point 和 telemetered_net_output 获得的机组向电网实际遥测净出力进行对比，可以了解机组对计划和指令的典型遵从情况。",done,
193,ercot_sced_gen_resource_60_day,"SCED generation resource data. Published with 60 day delay. Contains offer curves, telemetry, and other data.

With this data you can construct the actual operations and instructions for each generating unit in ERCOT. As an example, with this data it is possible to understand a unit's typical adherence to schedule and instructions by comparing the output schedule (an input to SCED) against a unit's base points (an output from SCED) and their actual telemetered net output to the grid using the columns `output_schedule`, `base_point`, and `telemetered_net_output`.

⚠️ Beginning with data for 12/5/2025, the active columns in this dataset changed due to ERCOT's implementation of RTC+B. Changes include the retirement of columns, which will be null going forward, and the addition of new columns, which will be null prior to 12/5/2025.


New columns post RTC+B:
* ramp_rate_up
* ramp_rate_down
* as_capability_regup
* as_capability_regdown
* as_capability_ecrs
* as_capability_nonspin
* as_awards_nonspin
* as_awards_rrsffr
* as_awards_rrspfr
* as_awards_rrsufr
* as_awards_ecrs
* as_awards_regup
* as_awards_regdown

Columns without new data post-RTC+B:
* as_responsibility_for_rrs
* as_responsibility_for_rrsffr
* as_responsibility_for_nonspin
* as_responsibility_for_regup
* as_responsibility_for_regdown
* as_responsibility_for_ecrs
* hasl
* lasl","安全约束经济调度（SCED）的发电资源数据。延迟60天发布。包含报价曲线、遥测数据及其他信息。

利用这些数据，可以重现ERCOT（德克萨斯州电力可靠性委员会）中每个发电机组的实际运行和指令。例如，通过将输出计划（SCED的输入）与机组基点（SCED的输出）以及使用列 output_schedule、base_point 和 telemetered_net_output 获得的机组向电网实际遥测净出力进行对比，可以了解机组对计划和指令的典型遵从情况。

⚠️ 从2025年12月5日的数据开始，由于ERCOT实施了RTC+B，此数据集中的有效列发生了变化。变化包括某些列的废弃（这些列后续将变为空值），以及新增了部分列（这些列在2025年12月5日之前将为空值）。

RTC+B之后的新增列：
* ramp_rate_up（上调速率）
* ramp_rate_down（下调速率）
* as_capability_regup（上调频能力）
* as_capability_regdown（下调频能力）
* as_capability_ecrs（ECRS能力）
* as_capability_nonspin（非旋转备用能力）
* as_awards_nonspin（非旋转备用中标量）
* as_awards_rrsffr（RRSFFR中标量）
* as_awards_rrspfr（RRSPFR中标量）
* as_awards_rrsufr（RRSUFR中标量）
* as_awards_ecrs（ECRS中标量）
* as_awards_regup（上调频中标量）
* as_awards_regdown（下调频中标量）

RTC+B后不再有新数据的列：
* as_responsibility_for_rrs（RRS责任）
* as_responsibility_for_rrsffr（RRSFFR责任）
* as_responsibility_for_nonspin（非旋转备用责任）
* as_responsibility_for_regup（上调频责任）
* as_responsibility_for_regdown（下调频责任）
* as_responsibility_for_ecrs（ECRS责任）
* hasl（高辅助服务限值）
* lasl（低辅助服务限值）",done,
